id,market_id,selection_id,selection_name,odds,line
,129469763,0QA129469763#1405593737_13L88808Q1-1197996978Q20,Over,1.83333334,58.5
,129469763,0QA129469763#1405593738_13L88808Q1167031029Q20,Under,1.90909091,58.5
,129485461,0QA129485461#1405294321_13L88808Q11299271549Q20,Over,1.90909091,2.5
,129485461,0QA129485461#1405294322_13L88808Q1-1920316915Q20,Under,1.83333334,2.5
,129510776,0QA129510776#1405557025_13L88808Q1-1173937947Q20,Over,1.83333334,45.5
,129510776,0QA129510776#1405557026_13L88808Q1-1677750201Q20,Under,1.90909091,45.5
,129264959,0QA129264959#1405621948_13L88808Q11865622591Q20,Over,1.83333334,7.5
,129264959,0QA129264959#1405621949_13L88808Q1-1833146832Q20,Under,1.90909091,7.5
,129264957,0QA129264957#1404032728_13L88808Q1-595815616Q20,Over,1.86956522,54.5
,129264957,0QA129264957#1404032730_13L88808Q1-2050704166Q20,Under,1.86956522,54.5
,129468785,0QA129468785#1405608135_13L88808Q1-1138196837Q20,Over,1.83333334,18.5
,129468785,0QA129468785#1405608136_13L88808Q11038105098Q20,Under,1.90909091,18.5
,129485490,0QA129485490#1405293476_13L88808Q11630561588Q20,Over,1.90909091,21.5
,129485490,0QA129485490#1405293477_13L88808Q1332440292Q20,Under,1.83333334,21.5
,129485507,0QA129485507#1405662935_13L88808Q11010315031Q20,Over,1.86956522,11.5
,129485507,0QA129485507#1405662936_13L88808Q1583279365Q20,Under,1.86956522,11.5
,129273582,0QA129273582#1405618145_13L88808Q1318350919Q20,Over,1.86956522,43.5
,129273582,0QA129273582#1405618146_13L88808Q1-1411621223Q20,Under,1.86956522,43.5
,129264954,0QA129264954#1403958790_13L88808Q1236315065Q20,Over,1.90909091,31.5
,129264954,0QA129264954#1403958793_13L88808Q124011789Q20,Under,1.83333334,31.5
,129468920,0QA129468920#1405621946_13L88808Q1466561590Q20,Over,1.86956522,7.5
,129468920,0QA129468920#1405621947_13L88808Q1-111890333Q20,Under,1.86956522,7.5
,129264945,0QA129264945#1405593743_13L88808Q11775076848Q20,Over,1.86956522,50.5
,129264945,0QA129264945#1405593744_13L88808Q11793606009Q20,Under,1.86956522,50.5
,129516057,0QA129516057#1405608137_13L88808Q11369757724Q20,Over,1.86956522,8.5
,129516057,0QA129516057#1405608138_13L88808Q1303283989Q20,Under,1.86956522,8.5
,129527489,0QA129527489#1405664154_13L88808Q1-1131740457Q20,Over,1.86956522,22.5
,129527489,0QA129527489#1405664155_13L88808Q11595090392Q20,Under,1.86956522,22.5
,129264951,0QA129264951#1404990254_13L88808Q1-1131740457Q20,Over,2.05,22.5
,129264951,0QA129264951#1404990255_13L88808Q11595090392Q20,Under,1.71428572,22.5
,129264962,0QA129264962#1405294323_13L88808Q1196693314Q20,Over,1.8,35.5
,129264962,0QA129264962#1405294324_13L88808Q1-1428864940Q20,Under,1.95238096,35.5
,129264942,0QA129264942#1405294066_13L88808Q11625052032Q20,Over,1.83333334,25.5
,129264942,0QA129264942#1405294068_13L88808Q1-1740330650Q20,Under,1.90909091,25.5
,129264958,0QA129264958#1403958806_13L88808Q1-820443874Q20,Over,1.90909091,34.5
,129264958,0QA129264958#1403958807_13L88808Q1-2065242193Q20,Under,1.83333334,34.5
,129485526,0QA129485526#1405293577_13L88808Q1-1073983785Q20,Over,2.35,3.5
,129485526,0QA129485526#1405293578_13L88808Q1-1672963010Q20,Under,1.55555556,3.5
,129485530,0QA129485530#1405293585_13L88808Q1-742151343Q20,Over,1.68965518,1.5
,129485530,0QA129485530#1405293586_13L88808Q1-2115487609Q20,Under,2.1,1.5
,129470331,0QA129470331#1405215053_13L88808Q1-1073983785Q20,Over,1.68965518,3.5
,129470331,0QA129470331#1405215054_13L88808Q1-1672963010Q20,Under,2.1,3.5
